product_id;product_name;category;sub_category;brand;price;discount;final_price;stock;rating;reviews_count;supplier;country;city;warehouse_id;delivery_time_days;return_rate;is_active;launch_year;weight_kg;volume_l;color;material;warranty_years;sales_last_month;sales_last_3_months;sales_last_year;profit_margin;cost_price;revenue_last_month;revenue_last_year;views;cart_additions;wishlist_additions;conversion_rate;avg_session_time;bounce_rate;seo_score;ad_spend;ad_clicks;ad_conversions;seasonality_index;restock_frequency_days;damaged_returns;customer_complaints;net_promoter_score;supplier_rating;shipping_cost;tax_rate;value_score;business_priority_score;product_name_upper;name_length;profit_abs;engagement_score;efficiency_score;segment;rank_score;forecast_sales;integrated_efficiency;integrated_rank_score
1361;Product_1361;Sports;Clothing;BrandC;990.23;0.32;673.36;154;4.94;4730;Supplier_3;India;Mumbai;8;11;0.12;1;2022;0.96;45.82;White;Metal;3;986;2047;4274;0.15;504.57;43095.04;517140.48;88754;18868;25708;0.111;224.92;0.69;91;7443.69;4633;3307;1.06;5;5;126;37;4.06;32.4;0.25;0.6090752667330248;0.4292317993271225;PRODUCT_1361;12;168.79000000000002;133330;5.6760440046336536;Popular;0.5588013956065907;532.5;4.776385536110505;0.9545645482155811
4969;Product_4969;Toys;Electronics;BrandA;914.79;0.02;896.49;124;4.91;2099;Supplier_36;Germany;New York;15;12;0.01;1;2012;18.73;48.75;Green;Metal;3;943;2263;5276;0.16;602.92;71719.2;860630.4;93054;34523;23545;0.027;259.93;0.84;94;9831.44;9341;4908;1.28;43;46;174;56;4.16;22.25;0.12;0.6394210171549799;0.4696215209610753;PRODUCT_4969;12;293.57000000000005;151122;5.52675851225925;Popular;0.5538385970347687;563.1;4.778250393382352;0.9263535054721318
1684;Product_1684;Clothing;Home;BrandD;929.84;0.06;874.05;353;4.94;895;Supplier_46;Germany;New York;10;11;0.13;1;2019;6.94;85.96;White;Fabric;4;969;1705;2848;0.32;729.11;152084.7;1825016.4;81656;22499;2846;0.152;65.7;0.89;93;6568.87;413;425;0.95;49;40;47;-76;4.33;35.19;0.07;0.6868098439010237;0.5762462027686833;PRODUCT_1684;12;144.93999999999994;107001;12.524117333556251;Premium;0.7417537766979031;485.0;4.7820252180571865;0.9241299253624182
6386;Product_6386;Beauty;Home;BrandD;846.42;0.38;524.78;605;4.83;4926;Supplier_25;India;New York;5;3;0.04;0;2014;2.46;81.07;Blue;Fabric;5;978;2477;379;0.3;548.05;11020.38;132244.56;97401;10501;26311;0.192;214.53;0.3;85;3132.82;9919;633;1.27;9;88;193;14;4.08;39.66;0.13;0.5905169065017702;0.3828622695832249;PRODUCT_6386;12;-23.269999999999985;134213;11.894472545231835;Premium;0.6459387977440894;652.3;4.708175063969012;0.9116047675587096
3911;Product_3911;Electronics;Home;BrandD;784.87;0.22;612.2;190;4.85;3542;Supplier_27;India;Shanghai;7;12;0.14;0;2023;31.66;83.96;Red;Metal;2;986;2642;8736;0.16;684.97;111420.4;1337044.8;94056;3605;29856;0.149;93.8;0.38;53;2696.61;4644;3695;1.43;46;31;135;66;4.21;42.67;0.18;0.670113254019717;0.5214866904602149;PRODUCT_3911;12;-72.76999999999998;127517;6.147453279239839;Popular;0.5725359254521757;693.7;4.705533661771522;0.903354171084334
4095;Product_4095;Beauty;Clothing;BrandE;557.48;0.49;284.31;450;4.92;2541;Supplier_44;China;Shanghai;18;7;0.07;0;2022;30.39;27.56;Black;Fabric;0;982;330;6600;0.41;501.23;45773.91;549286.92;98461;22629;24181;0.176;117.66;0.15;76;9029.11;8826;1801;1.28;58;82;142;31;4.39;22.21;0.08;0.6291518043618599;0.4374950511068717;PRODUCT_4095;12;-216.92;145271;16.346090379381174;Popular;0.7762451281111662;281.7;4.77020905568219;0.8937066135694907
542;Product_542;Toys;Beauty;BrandB;813.67;0.44;455.66;446;4.8;3908;Supplier_32;USA;London;20;14;0.13;1;2025;44.15;64.71;Blue;Plastic;5;988;299;6110;0.43;524.2;70171.64;842059.68;87781;630;9073;0.028;198.98;0.88;64;1176.9;7688;3505;1.48;46;30;159;-92;3.3;16.7;0.12;0.6187680691703783;0.4572692870778866;PRODUCT_542;11;-68.54000000000002;97484;14.633350859282418;Premium;0.7348207198681012;144.8;4.6801131229955155;0.8811176366783371
17;Product_17;Home;Beauty;BrandD;794.84;0.16;667.67;392;4.94;2687;Supplier_32;USA;Mumbai;17;5;0.27;0;2019;46.83;14.65;Blue;Fabric;5;888;1580;8534;0.07;445.58;152228.76;1826745.12;84765;26317;26375;0.011;228.9;0.58;97;2615.18;3016;2896;1.31;48;41;89;-21;3.76;6.77;0.08;0.6931502912566773;0.5783118328703454;PRODUCT_17;10;222.09;137457;2.3738437959051564;Popular;0.5135905564924825;441.6;4.754132918861965;0.8792570455168194
5472;Product_5472;Home;Home;BrandB;956.39;0.09;870.31;581;4.75;3366;Supplier_3;Germany;New York;7;12;0.02;0;2016;37.09;11.58;Red;Fabric;5;954;1978;2294;0.39;777.82;186246.34;2234956.08;87962;31616;12245;0.107;117.02;0.22;84;1167.24;8576;2934;1.26;10;5;129;40;1.08;11.41;0.14;0.7130390569695501;0.6152855338508944;PRODUCT_5472;12;92.4899999999999;131823;14.071431525872292;Premium;0.7436620273993887;512.4;4.716570123150297;0.8784776169004321
4884;Product_4884;Sports;Toys;BrandC;375.78;0.5;187.89;46;4.95;2536;Supplier_48;India;Berlin;13;7;0.28;0;2013;37.42;83.15;Green;Metal;2;974;138;4964;0.29;281.15;66700.95;800411.4;99092;24398;12510;0.171;36.32;0.48;75;4030.76;630;2500;0.64;35;79;78;13;4.05;31.91;0.09;0.65046593823566;0.468839708690851;PRODUCT_4884;12;-93.26;136000;11.569174356841987;Popular;0.6901866236136117;240.1;4.782218115997734;0.8706360503339873
